ip.dst,ip.src,tcp.dstport,tcp.srcport,tcp.window_size_value,tcp.flags
192.168.4.136,192.168.4.133,8222,52825,1024,0x0002
192.168.4.21,192.168.4.133,1099,52825,1024,0x0002
192.168.4.77,192.168.4.133,555,52825,1024,0x0002
192.168.4.133,192.168.4.21,52825,1863,0,0x0014
192.168.4.133,192.168.4.21,52825,1187,0,0x0014
192.168.4.133,192.168.4.78,52825,5269,0,0x0014
192.168.4.133,192.168.4.78,52825,30,0,0x0014
192.168.4.133,192.168.4.106,52825,1095,0,0x0014
192.168.4.133,192.168.4.106,52825,13783,0,0x0014
192.168.4.136,192.168.4.133,60020,52827,1024,0x0002
192.168.4.136,192.168.4.133,9968,52827,1024,0x0002
192.168.4.136,192.168.4.133,1583,52825,1024,0x0002
192.168.4.21,192.168.4.133,2099,52825,1024,0x0002
192.168.4.77,192.168.4.133,9102,52825,1024,0x0002
192.168.4.78,192.168.4.133,5200,52825,1024,0x0002
192.168.4.106,192.168.4.133,1287,52825,1024,0x0002
192.168.4.136,192.168.4.133,901,52825,1024,0x0002
192.168.4.133,192.168.4.77,52825,1089,0,0x0014
192.168.4.133,192.168.4.77,52825,1801,0,0x0014
192.168.4.133,192.168.4.77,52825,555,0,0x0014
192.168.4.133,192.168.4.77,52825,1259,0,0x0014
192.168.4.136,192.168.4.133,1248,52827,1024,0x0002
192.168.4.77,192.168.4.133,3300,52825,1024,0x0002
192.168.4.78,192.168.4.133,6543,52825,1024,0x0002
192.168.4.106,192.168.4.133,888,52825,1024,0x0002
192.168.4.136,192.168.4.133,4129,52825,1024,0x0002
192.168.4.136,192.168.4.133,1031,52827,1024,0x0002
192.168.4.133,192.168.4.77,52825,9102,0,0x0014
192.168.4.133,192.168.4.21,52825,1099,0,0x0014
192.168.4.133,192.168.4.21,52825,4,0,0x0014
192.168.4.133,192.168.4.21,52825,3914,0,0x0014
192.168.4.133,192.168.4.21,52825,9111,0,0x0014
192.168.4.133,192.168.4.106,52825,259,0,0x0014
192.168.4.133,192.168.4.106,52825,20828,0,0x0014
192.168.4.133,192.168.4.78,52825,1862,0,0x0014
192.168.4.133,192.168.4.78,52825,9929,0,0x0014
192.168.4.133,192.168.4.78,52825,8021,0,0x0014
192.168.4.136,192.168.4.133,3168,52827,1024,0x0002
192.168.4.106,192.168.4.133,9,52825,1024,0x0002
192.168.4.136,192.168.4.133,9071,52825,1024,0x0002
192.168.4.1,192.168.4.133,1042,52825,1024,0x0002
192.168.4.21,192.168.4.133,5280,52825,1024,0x0002
192.168.4.77,192.168.4.133,79,52825,1024,0x0002
192.168.4.78,192.168.4.133,27715,52825,1024,0x0002
192.168.4.106,192.168.4.133,32769,52825,1024,0x0002
192.168.4.136,192.168.4.133,8031,52825,1024,0x0002
192.168.4.21,192.168.4.133,3659,52825,1024,0x0002
192.168.4.77,192.168.4.133,4443,52825,1024,0x0002
192.168.4.136,192.168.4.133,17988,52827,1024,0x0002
192.168.4.133,192.168.4.77,52825,3300,0,0x0014
192.168.4.133,192.168.4.21,52825,2099,0,0x0014
192.168.4.133,192.168.4.106,52825,1287,0,0x0014
192.168.4.133,192.168.4.106,52825,888,0,0x0014
192.168.4.136,192.168.4.133,1045,52827,1024,0x0002
192.168.4.136,192.168.4.133,1021,52827,1024,0x0002
192.168.4.21,192.168.4.133,981,52825,1024,0x0002
192.168.4.77,192.168.4.133,3527,52825,1024,0x0002
192.168.4.78,192.168.4.133,311,52825,1024,0x0002
192.168.4.106,192.168.4.133,88,52825,1024,0x0002
192.168.4.133,192.168.4.1,52825,1042,0,0x0014
192.168.4.133,192.168.4.77,52825,4443,0,0x0014
192.168.4.133,192.168.4.78,52825,5200,0,0x0014
